model,attempt,score_type,attack_name
DNN,10,recall,SQLi,0.499809958190802
DNN,10,recall,File_Inclusion,0.0
DNN,10,recall,XSS,0.5
DNN,10,f1score,PW_Injection,0.4947107131257829
DNN,10,f1score,SQLi,0.0
DNN,10,f1score,File_Inclusion,0.0
DNN,10,f1score,XSS,0.3971368421052632
non_weighted_Ensemble,1,accuracy,PW_Injection,0.53411922768544
non_weighted_Ensemble,1,accuracy,SQLi,0.9172120111469455
non_weighted_Ensemble,1,accuracy,File_Inclusion,0.9623545285882948
non_weighted_Ensemble,1,accuracy,XSS,0.7790873884492339
non_weighted_Ensemble,1,precision,PW_Injection,0.5
non_weighted_Ensemble,1,precision,SQLi,0.5
non_weighted_Ensemble,1,precision,File_Inclusion,0.5
non_weighted_Ensemble,1,precision,XSS,0.4810540069686411
non_weighted_Ensemble,1,recall,PW_Injection,0.4895321610578027
non_weighted_Ensemble,1,recall,SQLi,0.499809958190802
non_weighted_Ensemble,1,recall,File_Inclusion,0.0
non_weighted_Ensemble,1,recall,XSS,0.5
non_weighted_Ensemble,1,f1score,PW_Injection,0.4947107131257829
non_weighted_Ensemble,1,f1score,SQLi,0.49990496103402393
non_weighted_Ensemble,1,f1score,File_Inclusion,0.0
non_weighted_Ensemble,1,f1score,XSS,0.4903440621531631
non_weighted_Ensemble,2,accuracy,PW_Injection,0.5347830814395998
non_weighted_Ensemble,2,accuracy,SQLi,0.9155167030908523
non_weighted_Ensemble,2,accuracy,File_Inclusion,0.9594399489641742
non_weighted_Ensemble,2,accuracy,XSS,0.7781245498631584
non_weighted_Ensemble,2,precision,PW_Injection,0.5
non_weighted_Ensemble,2,precision,SQLi,0.5
non_weighted_Ensemble,2,precision,File_Inclusion,0.5
non_weighted_Ensemble,2,precision,XSS,0.48052369616966023
non_weighted_Ensemble,2,recall,PW_Injection,0.4895321610578027
non_weighted_Ensemble,2,recall,SQLi,0.499809958190802
non_weighted_Ensemble,2,recall,File_Inclusion,0.0
non_weighted_Ensemble,2,recall,XSS,0.5
non_weighted_Ensemble,2,f1score,PW_Injection,0.4947107131257829
non_weighted_Ensemble,2,f1score,SQLi,0.49990496103402393
non_weighted_Ensemble,2,f1score,File_Inclusion,0.0
non_weighted_Ensemble,2,f1score,XSS,0.49006841756786584
non_weighted_Ensemble,3,accuracy,PW_Injection,0.5347244051812909
non_weighted_Ensemble,3,accuracy,SQLi,0.9183660663863964
non_weighted_Ensemble,3,accuracy,File_Inclusion,0.9605139243912283
non_weighted_Ensemble,3,accuracy,XSS,0.7785392504552862
non_weighted_Ensemble,3,precision,PW_Injection,0.5
non_weighted_Ensemble,3,precision,SQLi,0.5
non_weighted_Ensemble,3,precision,File_Inclusion,0.5
non_weighted_Ensemble,3,precision,XSS,0.48896342782947416
non_weighted_Ensemble,3,recall,PW_Injection,0.4895321610578027
non_weighted_Ensemble,3,recall,SQLi,0.499809958190802
non_weighted_Ensemble,3,recall,File_Inclusion,0.0
non_weighted_Ensemble,3,recall,XSS,0.5
non_weighted_Ensemble,3,f1score,PW_Injection,0.4947107131257829
non_weighted_Ensemble,3,f1score,SQLi,0.49990496103402393
non_weighted_Ensemble,3,f1score,File_Inclusion,0.0
non_weighted_Ensemble,3,f1score,XSS,0.49442013129102846
non_weighted_Ensemble,4,accuracy,PW_Injection,0.5222815266658195
non_weighted_Ensemble,4,accuracy,SQLi,0.9186415141718196
